project,MERGES_BEFORE,MERGES_AFTER,total_merges,MERGE_EFFORT_BEFORE,MERGE_EFFORT_AFTER,ISSUES_BEFORE,ISSUES_AFTER,total_issues,TOTAL_TIME_BEFORE,TOTAL_TIME_AFTER,LOC_BEFORE,LOC_AFTER,QT_COMMIT_BEFORE,QT_COMMIT_AFTER,NUM_MERGES_PER_100_COMMITS_BEFORE,NUM_MERGES_PER_100_COMMITS_AFTER,AVERAGE_EFFORT_PER_MERGE_BEFORE,AVERAGE_EFFORT_PER_MERGE_AFTER,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_BEFORE,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_AFTER,AVG_K_LOC_PER_COMMIT_BEFORE,AVG_K_LOC_PER_COMMIT_AFTER,ISSUES_KLOC_IN_100_COMMITS_BEFORE,ISSUES_KLOC_IN_100_COMMITS_AFTER,AVG_TIME_PER_ISSUES_BEFORE,AVG_TIME_PER_ISSUES_AFTER,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_BEFORE,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_AFTER
b-ryan/powerline-shell,10,13,23,19,13,45,71,140,4042,26365,167207,520894,280,280,3.5714285714285716,4.642857142857143,1.9,1.0,6.785714285714286,4.642857142857143,0.5971678571428571,1.8603357142857142,26.9127488681694,13.630412329571852,89.82222222222222,371.3380281690141,2417.362909447571,5061.4904375938295
detailyang/awesome-cheatsheet,2,2,4,0,0,5,4,9,65,9,55073,49880,186,186,1.075268817204301,1.075268817204301,0.0,0.0,0.0,0.0,0.29609139784946237,0.2681720430107527,9.078858969004775,8.019246190858059,13.0,2.25,118.02516659706208,18.043303929430632
flask-restful/flask-restful,23,13,36,8,32,103,264,381,2969,16413,1076899,1673351,404,404,5.693069306930693,3.217821782178218,0.34782608695652173,2.4615384615384617,1.98019801980198,7.920792079207922,2.6655915841584155,4.14195792079208,9.564499549168493,15.776725863252835,28.825242718446603,62.17045454545455,275.6990209852549,980.8462181574577
jupyterhub/jupyterhub,6,17,23,2,12,347,496,877,12966,74117,9821935,21518993,1449,1449,0.4140786749482402,1.173222912353347,0.3333333333333333,0.7058823529411765,0.13802622498274672,0.8281573498964804,6.778423050379572,14.850926846100759,3.5329087394693612,2.304940570406803,37.36599423631124,149.42943548387098,132.01064759642577,344.42596825976017
pallets/werkzeug,59,173,232,4,148,93,510,673,3849,202518,24656773,37137222,1814,1814,3.252480705622933,9.536934950385888,0.06779661016949153,0.8554913294797688,0.2205071664829107,8.158765159867697,13.592487872105844,20.472558985667035,0.3771783112088512,1.3732852715800874,41.38709677419355,397.09411764705885,15.610315267127616,545.3235031957963
tartley/colorama,8,0,8,2,0,11,63,77,441,2748,95100,110177,90,90,8.88888888888889,0.0,0.25,0.0,2.2222222222222223,0.0,1.0566666666666666,1.224188888888889,11.566771819137749,57.18071829873748,40.09090909090909,43.61904761904762,463.7223974763407,2494.168474363978
ActivityWatch/activitywatch,12,9,21,1,7,5,50,59,123,13734,124265,233845,228,228,5.2631578947368425,3.9473684210526314,0.08333333333333333,0.7777777777777778,0.4385964912280702,3.070175438596491,0.5450219298245614,1.0256359649122806,4.0236591155997266,21.381684449100902,24.6,274.68,98.98201424375326,5873.121084479036
spulec/freezegun,0,3,3,0,0,31,77,110,1019,7214,85235,228660,199,199,0.0,1.5075376884422111,0.0,0.0,0.0,0.0,0.42831658291457286,1.1490452261306532,36.3700357834223,33.67445115017931,32.87096774193548,93.68831168831169,1195.5182730099139,3154.902475290825
binarylogic/authlogic,17,3,20,0,0,66,125,306,6727,292548,1996474,2595387,471,471,3.6093418259023355,0.6369426751592356,0.0,0.0,0.0,0.0,4.2387983014862,5.510375796178344,3.3058281750726533,4.816237424322461,101.92424242424242,2340.384,336.944032328996,11271.845008085498
lewagon/setup,3,7,10,0,0,1,13,14,3,1276,53028,127941,115,115,2.608695652173913,6.086956521739131,0.0,0.0,0.0,0.0,0.4611130434782609,1.1125304347826088,1.8857961831485253,10.16093355531065,3.0,98.15384615384616,5.657388549445576,997.3347089674145
jmettraux/rufus-scheduler,1,3,4,0,0,42,88,133,299,241,1246721,3114775,563,563,0.17761989342806395,0.5328596802841918,0.0,0.0,0.0,0.0,2.214424511545293,5.532460035523979,3.368837133568778,2.825244199019191,7.119047619047619,2.7386363636363638,23.982911974692012,7.7373164995866475
consul/consul,181,219,400,1099,380,183,428,621,1516,31832,196093463,477147609,4595,4595,3.939064200217628,4.766050054406964,6.071823204419889,1.735159817351598,23.917301414581065,8.269858541893361,42.675399999999996,103.84061131664853,0.09332284574932516,0.08969970548463965,8.28415300546448,74.37383177570094,0.7731007330927702,6.6713108060445085
gocardless/statesman,9,7,16,11,3,31,78,114,512,8330,471388,967542,308,308,2.9220779220779223,2.272727272727273,1.2222222222222223,0.42857142857142855,3.571428571428572,0.974025974025974,1.5304805194805193,3.14137012987013,6.57632353814692,8.061665540100584,16.516129032258064,106.7948717948718,108.61540811391042,860.9445378081778
newrelic/newrelic-ruby-agent,243,247,490,92,114,53,80,136,2994,17413,131644613,378149789,6423,6423,3.7832788416627743,3.8455550365872644,0.3786008230452675,0.46153846153846156,1.4323524832632726,1.7748715553479684,20.495813949867664,58.87432492604702,0.04025990793865602,0.021155637878724296,56.490566037735846,217.6625,2.274304988081814,4.604789029777827
railwaycat/homebrew-emacsmacport,1,1,2,0,0,9,38,59,119,26565,8028,15021,90,90,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0892,0.16690000000000002,112.10762331838565,252.97916250582514,13.222222222222221,699.078947368421,1482.311908320877,176852.40663071699
ruby-amqp/bunny,42,66,108,9,29,93,210,304,1902,1927,6561419,12752544,1306,1306,3.215926493108729,5.053598774885145,0.21428571428571427,0.4393939393939394,0.6891271056661562,2.2205206738131698,5.024057427258805,9.764581929555895,1.4173763327719202,1.6467302524108134,20.451612903225808,9.176190476190476,28.98763209604508,15.110710459026842
education/classroom,140,247,387,2,19,184,279,483,2632,22220,46729746,44200121,1694,1694,8.264462809917354,14.580873671782763,0.014285714285714285,0.07692307692307693,0.11806375442739077,1.1216056670602126,27.585446280991736,26.092161157024794,0.39375347770989383,0.6312199914565845,14.304347826086957,79.6415770609319,5.632386702893698,50.27135559199034
magnusvk/counter_culture,6,9,15,1,30,79,47,130,3773,2212,446472,710411,257,257,2.3346303501945527,3.501945525291829,0.16666666666666666,3.3333333333333335,0.38910505836575876,11.673151750972764,1.7372451361867705,2.76424513618677,17.69427870056801,6.615888549023031,47.75949367088607,47.06382978723404,845.0697916106722,311.3690525625307
gjtorikian/html-proofer,7,36,43,0,48,70,114,197,1703,20112,797884,5993725,609,609,1.1494252873563218,5.911330049261084,0.0,1.3333333333333333,0.0,7.881773399014778,1.3101543513957308,9.841912972085387,8.773205127562402,1.9019891636670017,24.32857142857143,176.42105263157896,213.439547603411,335.55093034798887
SlatherOrg/slather,12,8,20,2,1,14,144,163,359,7157,497641,1816820,353,353,3.3994334277620397,2.26628895184136,0.16666666666666666,0.125,0.56657223796034,0.28328611898017,1.4097478753541077,5.146798866855524,2.813273022118354,7.925936526458318,25.642857142857142,49.701388888888886,72.14035821003493,393.930053610154
