project,sha,merge_effort
microsoft/MixedRealityToolkit-Unity,9d05ac2e7498458f9d2c33e99487565df84aa08b,0
microsoft/MixedRealityToolkit-Unity,097771abb5508c4755a2e9a1239b108227a0ad04,7
microsoft/MixedRealityToolkit-Unity,0f0dbda32e948fa6ffefba42552d243cfa1d8466,0
microsoft/MixedRealityToolkit-Unity,813d94b05377328e716fa3bb43443ade50d62519,0
microsoft/MixedRealityToolkit-Unity,c29617a86931141ad40a462b96843f0111f39f73,5
microsoft/MixedRealityToolkit-Unity,ea42997f1e9685ce79d2858b33133e041f63ad8a,0
microsoft/MixedRealityToolkit-Unity,858d969a6533337cd668dc9d742dc4bf68f02813,0
microsoft/MixedRealityToolkit-Unity,a7e31a5ee1e4bc6bfeaf9630470ed8c2573cea41,0
microsoft/MixedRealityToolkit-Unity,150a131a4dc991b87fd835c2cceb7072ac9339f9,0
microsoft/MixedRealityToolkit-Unity,67e86d8ab65ac643da439b91895ee8c21b9f349e,2
microsoft/MixedRealityToolkit-Unity,537de1fe8c12cd569b28445020be83bd2ba1c874,0
microsoft/MixedRealityToolkit-Unity,1c802ef42d9de6ebcb4250be4e57e1c75e13e2d1,1
microsoft/MixedRealityToolkit-Unity,278bdb06c7ea26fc73631f27926bb5c09ca50b7c,0
microsoft/MixedRealityToolkit-Unity,bb597b9764621ad96b34c7800c9df3b4b140e9e6,17
microsoft/MixedRealityToolkit-Unity,38bfa9a4b75ccc849390891e7cbc23f0b51eefe5,14
microsoft/MixedRealityToolkit-Unity,e362c6910a8701fdcd04b197efe1bc648edef6ad,0
microsoft/MixedRealityToolkit-Unity,0514ef8d1a30e5c1b958143b4c1411cab897bca9,0
microsoft/MixedRealityToolkit-Unity,92e2d2acc2d533e32005900e79421ad238dca451,0
microsoft/MixedRealityToolkit-Unity,ab513f003ed0ae3981085c4811983c836f1fc6b1,0
microsoft/MixedRealityToolkit-Unity,0945a16de1917cd1c6eede4b36356f825d90feb5,0
microsoft/MixedRealityToolkit-Unity,879cf2c280b0e7ffe0eec5f7a7f5231d052a43c9,8
microsoft/MixedRealityToolkit-Unity,d132489afaab6edbdf750c703d6a05c6057f26a4,0
microsoft/MixedRealityToolkit-Unity,881f5a3aa016b94b0a282fdc9a0aa22ddcd2d531,0
microsoft/MixedRealityToolkit-Unity,674ecc9efd0aab2ce18dea37a597cafad6a0c702,0
microsoft/MixedRealityToolkit-Unity,c8b68b4e4581870ee71cd0ae7048c6f8ff61b0a3,0
microsoft/MixedRealityToolkit-Unity,be451a041dc8d179b63b0af1ee5a9c8e09b32e6f,0
microsoft/MixedRealityToolkit-Unity,67d3d98972882cfa01c5a381a45e1f73561d8917,0
